1,0.00126
0.996057,0.001812
0.984292,0.003443
0.964888,0.006082
0.938153,0.009619
0.904508,0.013914
0.864484,0.018809
0.818712,0.024135
0.767913,0.029717
0.71289,0.035374
0.654508,0.040917
0.593691,0.046149
0.531395,0.050854
0.468605,0.05481
0.406309,0.057789
0.345492,0.059575
0.28711,0.05998
0.232087,0.058866
0.181288,0.05616
0.135516,0.051863
0.095492,0.046049
0.061847,0.038859
0.035112,0.030473
0.015708,0.021088
0.003943,0.010884
0,0
0.003943,-0.010884
0.015708,-0.021088
0.035112,-0.030473
0.061847,-0.038859
0.095492,-0.046049
0.135516,-0.051863
0.181288,-0.05616
0.232087,-0.058866
0.28711,-0.05998
0.345492,-0.059575
0.406309,-0.057789
0.468605,-0.05481
0.531395,-0.050854
0.593691,-0.046149
0.654508,-0.040917
0.71289,-0.035374
0.767913,-0.029717
0.818712,-0.024135
0.864484,-0.018809
0.904508,-0.013914
0.938153,-0.009619
0.964888,-0.006082
0.984292,-0.003443
0.996057,-0.001812
1,-0.00126
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
